feature,importance
room_1_end_fraction,31.679397949089477
room_1_start_fraction,25.572687857673564
room_1_wall_fraction,12.547139458580473
wall_length,9.16189929536369
room_2_start_fraction,8.197053712085868
room_2_end_fraction,7.648638604193623
room_2_wall_fraction,5.19318312301331
